variant,ticker,entry_date,exit_date,weeks_held,ret_pct,reason,completed
fixed_52w,360ONE.NS,2021-03-29,2022-03-28,52,45.3,closed_52w,True
ma_break,360ONE.NS,2021-03-29,2021-06-28,13,-5.54,ma_break,True
ma_2closes,360ONE.NS,2021-03-29,2021-12-27,39,19.41,ma_break,True
ma_buffer3,360ONE.NS,2021-03-29,2021-12-20,38,15.13,ma_break,True
ma_grace8,360ONE.NS,2021-03-29,2021-06-28,13,-5.54,ma_break,True
ma_hardstop,360ONE.NS,2021-03-29,2021-06-28,13,-5.54,ma_break,True
ma_break,360ONE.NS,2021-07-19,2021-12-20,22,1.42,ma_break,True
ma_grace8,360ONE.NS,2021-07-19,2021-12-20,22,1.42,ma_break,True
ma_hardstop,360ONE.NS,2021-07-19,2021-12-20,22,1.42,ma_break,True
ma_break,360ONE.NS,2022-01-10,2022-02-28,7,-2.77,ma_break,True
ma_2closes,360ONE.NS,2022-01-10,2022-03-07,8,-6.92,ma_break,True
ma_buffer3,360ONE.NS,2022-01-10,2022-03-07,8,-6.92,ma_break,True
ma_grace8,360ONE.NS,2022-01-10,2022-03-14,9,-2.12,ma_break,True
ma_hardstop,360ONE.NS,2022-01-10,2022-02-28,7,-2.77,ma_break,True
fixed_52w,360ONE.NS,2022-07-11,2023-07-10,52,36.21,closed_52w,True
ma_break,360ONE.NS,2022-07-11,2023-03-13,35,16.17,ma_break,True
ma_2closes,360ONE.NS,2022-07-11,2023-03-20,36,12.2,ma_break,True
ma_buffer3,360ONE.NS,2022-07-11,2023-03-20,36,12.2,ma_break,True
ma_grace8,360ONE.NS,2022-07-11,2023-03-13,35,16.17,ma_break,True
ma_hardstop,360ONE.NS,2022-07-11,2023-03-13,35,16.17,ma_break,True
ma_break,360ONE.NS,2023-06-26,2025-02-03,84,132.1,ma_break,True
ma_2closes,360ONE.NS,2023-06-26,2025-02-10,85,131.06,ma_break,True
