ticker,signal_date,entry_date,ret_pct,win,idx_above_40wma,idx_off_52wk_high,idx_13wk_ret,idx_52wk_ret,idx_weeks_above_40wma,breadth,mrs,pct_above_ma30,ma30_slope_pct,pct_off_52wk_high,pct_above_52wk_low,vol_surge_x,prior_52wk_ret,weeks_above_ma30,mcap_cr,price,candle_bullish,candle_body_pct,candle_range_pct,range_expansion_x,close_position,body_share_of_range,gap_pct,weeks_listed,listing_censored,ma_break_week
360ONE.NS,2021-03-22,2021-03-29,45.3,False,True,-4.33,5.51,67.52,37,33,0.031,17.82,2.25,-1.81,53.5,0.84,33.68,20,10740.0,264.63,True,4.44,5.97,0.88,0.743,0.743,-1.48,79,False,12
360ONE.NS,2022-07-04,2022-07-11,36.21,False,False,-11.55,-8.79,3.38,0,29,0.724,1.17,-0.17,-12.3,24.59,0.54,35.68,1,14623.0,360.31,True,1.72,6.87,0.69,0.876,0.261,-0.27,146,False,34
360ONE.NS,2023-07-10,2023-07-17,92.34,True,True,0.0,9.74,21.9,12,38,0.797,16.65,1.04,0.0,29.55,0.88,35.99,5,19785.0,487.48,True,5.18,6.84,1.14,0.871,0.763,0.73,199,False,-1
360ONE.NS,2025-06-02,2025-06-09,2.63,False,True,-4.49,10.87,7.35,7,124,0.04,3.44,-0.32,-17.41,33.9,1.12,34.28,1,42749.0,1053.3,True,5.95,12.2,1.18,0.508,0.489,0.76,298,False,11
3IINFOLTD.NS,2021-11-22,2021-11-29,-62.46,False,True,-7.15,1.92,31.29,72,30,2.897,30.25,0.5,0.0,250.0,6.06,219.12,2,2309.0,108.5,True,21.43,21.43,2.04,1.0,1.0,4.99,357,True,7
5PAISA.NS,2021-10-25,2021-11-01,-27.48,False,True,-3.64,12.11,51.79,68,52,0.332,2.07,6.47,-19.5,77.13,0.51,38.58,29,2042.0,444.5,True,0.34,6.85,0.59,0.54,0.051,0.31,206,False,0
5PAISA.NS,2024-04-01,2024-04-08,-36.76,False,True,0.0,3.7,27.92,50,112,1.199,10.3,1.83,-17.16,95.05,1.78,98.08,1,2636.0,573.75,True,12.06,18.16,1.61,0.664,0.664,1.38,333,False,3
63MOONS.NS,2024-10-14,2024-10-21,56.6,True,True,-5.06,1.32,27.18,78,92,1.175,29.69,0.01,-24.13,91.03,4.88,79.3,3,2244.0,495.96,True,11.35,21.64,2.2,0.524,0.524,1.54,508,True,26
AADHARHFC.NS,2025-05-05,2025-05-12,-0.49,False,True,-8.29,1.9,8.85,3,38,0.416,3.43,0.19,-9.71,28.97,0.62,,6,19093.0,440.95,False,-6.57,10.26,1.28,0.137,0.695,0.36,51,False,27
AARTIDRUGS.NS,2022-10-03,2022-10-10,5.1,False,True,-5.58,6.74,-3.24,11,47,0.249,11.93,0.04,-20.44,26.48,1.64,-21.02,5,4353.0,489.99,True,7.36,10.91,1.57,0.675,0.675,-1.44,402,True,14
AARTIDRUGS.NS,2025-05-19,2025-05-26,-19.65,False,True,-5.06,9.02,8.26,5,145,0.078,15.74,-2.39,-18.44,44.07,0.9,-3.47,3,4191.0,471.67,True,2.46,8.49,1.06,0.414,0.293,1.73,539,True,24
AARTIIND.NS,2017-08-28,2017-09-04,53.15,True,True,-0.91,3.32,13.22,34,44,0.149,3.1,2.29,-10.65,50.17,0.63,43.16,1,7510.0,208.64,True,4.56,8.28,1.04,0.919,0.567,0.39,136,True,4
AARTIIND.NS,2018-10-08,2018-10-15,25.75,False,False,-10.34,-4.96,3.0,0,19,1.304,2.43,0.77,-7.52,47.04,1.18,43.6,1,11024.0,306.27,True,8.68,12.28,1.58,0.789,0.713,-0.71,194,True,0
AARTIIND.NS,2019-10-21,2019-10-28,15.1,False,True,-2.84,2.66,15.49,2,40,1.036,7.75,1.39,-2.94,31.52,1.14,45.5,1,15492.0,430.39,True,9.07,10.87,1.5,0.835,0.835,0.0,248,True,1
AARTIIND.NS,2020-11-02,2020-11-09,69.84,True,True,-0.72,9.36,2.98,17,20,0.335,10.07,2.96,-5.95,45.08,0.74,36.52,16,19575.0,543.8,True,7.5,14.63,1.84,0.795,0.532,2.74,302,True,-1
AARTIIND.NS,2023-12-18,2023-12-25,-31.49,False,True,-0.5,8.51,19.89,35,45,0.196,19.86,1.81,-1.39,33.19,1.51,1.82,7,21457.0,596.09,True,0.36,10.37,2.14,0.699,0.037,0.88,465,True,21
AARTIPHARM.NS,2024-01-22,2024-01-29,9.87,False,True,-2.48,12.1,21.29,40,38,2.483,25.77,4.45,-0.08,105.68,0.67,,23,4652.0,526.49,True,0.96,4.98,0.66,0.194,0.194,-0.0,51,False,6
AAVAS.NS,2019-09-30,2019-10-07,-10.73,False,False,-6.27,-5.39,8.32,0,26,3.966,15.02,5.0,0.0,144.08,0.34,,23,12519.0,1617.75,True,1.62,8.96,1.18,0.446,0.185,0.0,51,False,23
AAVAS.NS,2021-01-04,2021-01-11,42.53,False,True,0.0,20.42,17.06,26,61,0.266,30.8,5.85,-3.05,96.75,1.39,-3.0,17,14959.0,1933.1,True,10.54,26.55,3.89,0.584,0.415,1.64,117,False,31
AAVAS.NS,2022-01-17,2022-01-24,-33.63,False,True,-3.93,-2.75,22.58,80,41,0.394,6.27,1.35,-2.47,56.26,0.86,52.09,3,21859.0,2824.75,True,0.88,6.97,0.86,0.518,0.13,1.05,171,False,5
AAVAS.NS,2024-06-10,2024-06-17,-2.31,False,True,0.0,6.55,24.64,60,101,0.642,21.85,1.84,0.0,40.9,1.63,36.94,11,14346.0,1853.8,True,7.78,15.46,2.43,0.69,0.517,2.69,296,False,18
AAVAS.NS,2025-06-23,2025-06-30,-24.96,False,True,-2.07,9.01,6.78,10,73,0.546,9.94,1.79,-4.7,21.3,0.66,7.18,7,15370.0,1986.2,True,10.41,11.56,1.49,0.9,0.9,-0.96,350,False,4
ABB.NS,2017-08-14,2017-08-21,-3.29,False,True,-2.27,4.34,13.51,32,34,0.041,0.82,3.08,-11.19,34.13,0.33,18.58,1,24913.0,1185.01,True,1.67,3.5,0.47,0.882,0.482,0.52,134,True,0
ABB.NS,2018-09-17,2018-09-24,7.58,False,True,-4.6,2.97,11.83,25,24,0.176,12.49,-1.92,-14.38,26.17,1.86,0.56,5,26086.0,1240.82,False,-0.7,10.68,1.68,0.74,0.071,-0.44,191,True,4
ABB.NS,2019-09-23,2019-09-30,-38.18,False,True,-3.44,-2.35,5.32,1,39,0.878,8.46,1.53,-3.56,25.81,3.58,10.0,1,28252.0,1343.84,True,8.83,13.95,1.84,0.716,0.64,0.77,244,True,7
ABB.NS,2020-12-14,2020-12-21,80.72,True,True,0.0,19.61,12.13,23,46,0.054,32.48,5.09,-8.66,71.7,1.39,-0.67,9,25244.0,1200.77,True,5.67,9.46,1.54,0.88,0.615,0.32,308,True,-1
ABB.NS,2024-02-19,2024-02-26,-7.75,False,True,0.0,12.22,27.18,44,45,1.349,21.0,1.05,0.0,71.49,6.54,72.11,17,110150.0,5239.47,True,18.77,24.03,3.98,0.882,0.797,0.35,474,True,34
ABBOTINDIA.NS,2021-07-26,2021-08-02,8.67,False,True,-1.01,7.74,42.35,55,33,0.566,23.29,1.82,0.0,35.82,1.14,26.18,13,36589.0,17575.43,True,6.22,9.22,3.07,0.857,0.685,0.47,340,True,18
ABBOTINDIA.NS,2022-09-26,2022-10-03,21.74,False,True,-6.78,8.52,-2.5,10,43,0.552,6.13,1.12,-11.0,22.28,2.75,-11.95,1,37332.0,17932.32,True,7.52,10.39,2.05,0.912,0.737,-0.3,401,True,1
ABBOTINDIA.NS,2023-10-02,2023-10-09,26.93,False,True,-2.67,1.66,13.51,24,52,0.059,2.54,1.83,-4.25,29.17,0.49,22.57,20,45560.0,21884.38,False,-0.62,2.57,0.64,0.549,0.245,-0.0,454,True,0
ABBOTINDIA.NS,2024-10-14,2024-10-21,3.45,False,True,-5.06,1.32,27.18,78,92,0.126,6.39,0.72,-3.27,31.09,0.89,30.88,42,58603.0,28149.62,True,1.39,3.88,0.77,0.866,0.364,0.01,508,True,3
ABCAPITAL.NS,2019-11-18,2019-11-25,-12.68,False,True,-0.07,10.02,13.18,6,31,0.306,11.38,-1.67,-4.66,27.58,4.58,-11.37,1,26952.0,100.15,True,23.11,26.15,3.02,0.945,0.895,0.0,116,False,11
ABCAPITAL.NS,2020-11-23,2020-11-30,31.41,False,True,0.0,11.34,7.57,20,71,0.971,42.11,6.94,-19.66,110.6,1.39,-19.19,15,23804.0,88.45,True,7.8,12.59,1.39,0.905,0.64,1.36,169,False,37
ABCAPITAL.NS,2021-12-06,2021-12-13,20.64,False,True,-4.51,0.82,29.58,74,36,0.074,9.04,-0.51,-5.37,53.77,2.74,33.03,2,33438.0,124.25,True,5.12,9.09,1.13,0.773,0.573,1.46,223,False,9
ABCAPITAL.NS,2024-04-01,2024-04-08,-10.27,False,True,0.0,3.7,27.92,50,112,0.287,15.85,-0.06,0.0,29.87,2.72,29.7,1,55116.0,204.8,True,16.17,18.38,2.64,0.88,0.88,0.51,344,False,28
ABCAPITAL.NS,2025-05-12,2025-05-19,63.43,True,True,-4.43,9.12,11.37,4,110,0.388,18.47,-1.83,-9.56,42.88,2.25,-2.35,5,58733.0,218.24,True,9.45,10.54,1.54,0.917,0.898,3.23,402,False,42
ABDL.NS,2025-06-23,2025-06-30,54.46,True,True,-2.07,9.01,6.78,10,73,1.544,16.48,3.84,-2.04,46.64,0.54,,7,11255.0,421.35,True,0.72,5.23,0.61,0.182,0.139,0.67,51,False,27
ABFRL.NS,2017-09-04,2017-09-11,7.9,False,True,-1.31,2.76,12.05,35,46,0.206,4.98,2.0,-3.21,33.81,1.2,16.85,4,20889.0,173.98,True,3.16,8.66,1.18,0.463,0.367,-0.12,137,True,1
ABFRL.NS,2019-05-27,2019-06-03,-33.99,False,True,0.0,9.75,11.47,13,47,0.212,1.45,1.35,-7.11,56.2,0.76,44.98,1,24967.0,207.93,True,3.92,8.89,1.2,0.443,0.44,0.2,227,True,4
ABFRL.NS,2021-03-01,2021-03-08,27.84,False,True,-1.49,12.67,35.93,34,71,1.39,39.27,5.51,-3.04,111.43,2.0,-11.59,21,26049.0,216.95,True,16.61,21.24,2.52,0.89,0.797,1.33,319,True,-1
ABFRL.NS,2022-11-28,2022-12-05,-26.67,False,True,0.0,6.59,8.72,19,51,0.066,8.03,1.35,-9.14,37.82,0.83,19.92,18,38086.0,317.2,True,2.59,3.66,0.55,0.84,0.711,-0.45,410,True,2
ABFRL.NS,2024-02-05,2024-02-12,-2.38,False,True,-0.51,12.13,21.99,42,33,0.147,12.72,1.84,-3.6,32.49,1.87,-0.73,24,30359.0,252.85,True,1.24,8.35,1.36,0.359,0.151,0.52,472,True,3
ABREL.NS,2019-05-06,2019-05-13,-70.44,False,True,-4.05,3.06,4.37,10,35,0.218,6.5,1.76,-12.2,30.25,1.06,-15.53,9,9994.0,897.91,False,-0.34,3.73,0.64,0.82,0.095,-1.02,224,True,11
ABREL.NS,2021-02-15,2021-02-22,56.53,True,True,-1.2,16.51,24.01,32,60,0.661,32.75,5.86,-3.94,84.14,1.05,-18.53,14,5312.0,477.27,True,4.85,10.91,1.54,0.609,0.452,0.78,317,True,50
ABREL.NS,2022-05-30,2022-06-06,-8.24,False,False,-9.57,2.09,5.83,0,22,1.223,5.82,-1.63,-10.36,57.29,1.84,74.98,1,9746.0,875.65,True,19.77,22.94,2.18,0.906,0.869,1.46,384,True,0
ABREL.NS,2023-06-26,2023-07-03,163.98,True,True,0.0,10.54,21.82,10,49,0.489,21.57,0.31,-4.97,42.07,1.95,7.33,9,9491.0,852.76,True,7.76,10.61,1.89,0.853,0.74,0.1,440,True,-1
ABREL.NS,2025-06-09,2025-06-16,-47.93,False,True,-5.58,10.36,5.34,8,115,0.399,13.13,-2.45,-19.6,38.26,1.91,9.56,2,27247.0,2448.03,True,5.66,10.74,1.03,0.712,0.537,-1.39,542,True,5
ABSLAMC.NS,2023-09-25,2023-10-02,68.2,True,True,-2.74,2.34,14.88,23,43,0.417,17.19,1.49,-2.48,41.15,1.67,-2.08,12,11509.0,403.87,True,3.74,8.57,2.0,0.604,0.443,0.26,102,False,24
ABSLAMC.NS,2025-05-26,2025-06-02,43.38,False,True,-5.46,11.87,9.85,6,164,0.231,4.26,-0.81,-13.66,32.19,0.78,45.75,2,20214.0,709.3,True,2.45,5.31,0.65,0.667,0.466,1.03,189,False,21
ACC.NS,2017-12-04,2017-12-11,-13.85,False,True,-1.79,3.33,24.26,48,44,0.127,1.69,0.91,-4.05,36.43,0.98,28.02,1,30050.0,1604.24,True,3.99,5.33,1.11,0.853,0.752,0.2,150,True,0
ACC.NS,2019-03-04,2019-03-11,-25.46,False,True,-5.52,3.2,7.91,1,47,0.627,7.1,-0.19,-3.13,22.94,1.55,4.88,1,27637.0,1475.4,True,6.27,7.33,1.13,0.95,0.86,0.95,215,True,20
ACC.NS,2020-07-27,2020-08-03,65.44,True,True,-10.35,12.31,0.69,3,43,0.29,12.16,-0.96,-11.71,50.47,0.96,-4.89,6,25333.0,1352.38,True,5.35,8.74,1.06,0.748,0.62,0.68,288,True,-1
ACC.NS,2021-10-25,2021-11-01,8.42,False,True,-3.64,12.11,51.79,68,52,0.324,8.53,2.9,-5.49,46.59,1.15,42.58,71,41783.0,2230.55,True,5.58,9.93,1.82,0.899,0.58,-0.09,353,True,6
ACC.NS,2022-10-31,2022-11-07,-26.52,False,True,-0.76,4.14,1.12,15,38,0.54,9.61,1.45,-5.01,26.8,0.77,4.85,16,45651.0,2437.08,True,5.68,8.04,1.45,0.817,0.713,0.99,406,True,10
ACC.NS,2023-12-11,2023-12-18,-7.58,False,True,0.0,6.26,17.45,34,31,0.09,15.4,1.86,-8.93,33.38,1.05,-15.02,3,40921.0,2184.55,True,3.75,6.63,1.42,0.724,0.571,-0.25,464,True,32
ACCELYA.NS,2024-01-08,2024-01-15,-15.66,False,True,0.0,10.85,21.93,38,61,1.125,20.97,1.86,0.0,55.99,4.04,23.32,2,2306.0,1537.23,True,18.41,21.49,3.18,0.857,0.857,1.13,468,True,18
ACE.NS,2022-03-28,2022-04-04,74.81,True,True,-3.64,1.82,18.85,3,25,0.255,1.16,0.05,-11.99,66.66,1.55,46.69,1,2804.0,234.02,True,8.1,16.08,1.61,0.744,0.521,0.21,375,True,0
ACE.NS,2024-09-23,2024-09-30,-24.2,False,True,0.0,9.03,33.31,75,42,0.31,1.27,1.13,-9.71,99.61,0.83,106.4,1,16966.0,1415.78,False,-0.69,5.23,0.57,0.366,0.135,2.16,505,True,0
ACI.NS,2024-02-19,2024-02-26,-36.5,False,True,0.0,12.22,27.18,44,45,1.744,30.28,3.41,0.0,53.75,3.89,25.56,13,9533.0,781.33,True,18.08,20.28,2.91,0.927,0.897,1.49,65,False,2
ACI.NS,2025-04-21,2025-04-28,-6.98,False,True,-8.17,4.1,7.22,1,35,0.104,7.48,-2.14,-18.04,54.66,0.86,-1.43,2,7937.0,650.47,True,3.38,7.62,0.74,0.72,0.453,-0.54,126,False,1
