ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
360ONE.NS,2021-03-22,2021-03-29,264.63,True,2022-03-28,45.6,45.3,2021-06-28,ma_break,13,-5.24,-5.54
360ONE.NS,2022-07-04,2022-07-11,357.1,True,2023-07-10,36.51,36.21,2023-03-13,ma_break,35,16.47,16.17
360ONE.NS,2023-07-10,2023-07-17,491.83,True,2024-07-15,92.64,92.34,2024-07-15,52w_cap,52,92.64,92.34
360ONE.NS,2025-06-02,2025-06-09,1065.56,True,2026-06-08,2.93,2.63,2025-09-01,ma_break,12,-5.49,-5.79
3IINFOLTD.NS,2021-11-22,2021-11-29,113.9,True,2022-11-28,-62.16,-62.46,2022-01-24,ma_break,8,-28.58,-28.88
5PAISA.NS,2021-06-21,2021-06-28,426.9,True,2022-06-27,-30.57,-30.87,2021-11-08,ma_break,19,3.07,2.77
5PAISA.NS,2024-04-01,2024-04-08,577.5,True,2025-04-07,-36.46,-36.76,2024-05-06,ma_break,4,-8.92,-9.22
63MOONS.NS,2024-10-14,2024-10-21,500.95,True,2025-10-20,56.9,56.6,2025-04-28,ma_break,27,32.97,32.67
63MOONS.NS,2025-11-24,2025-12-01,895.0,False,2026-08-10,-3.08,-3.38,2025-12-08,ma_break,1,-9.27,-9.57
AADHARHFC.NS,2025-05-05,2025-05-12,465.05,True,2026-05-11,-0.19,-0.49,2025-11-24,ma_break,28,4.2,3.9
AARTIDRUGS.NS,2022-10-03,2022-10-10,489.0,True,2023-10-09,5.4,5.1,2023-01-23,ma_break,15,-13.71,-14.01
AARTIDRUGS.NS,2025-05-19,2025-05-26,471.67,True,2026-05-25,-19.35,-19.65,2025-11-17,ma_break,25,-1.96,-2.26
AARTIDRUGS.NS,2026-07-13,2026-07-20,417.05,False,2026-08-10,3.46,3.16,2026-08-10,52w_cap,3,3.46,3.16
AARTIIND.NS,2017-08-28,2017-09-04,208.99,True,2018-09-03,53.45,53.15,2017-10-09,ma_break,5,-0.0,-0.3
AARTIIND.NS,2018-10-08,2018-10-15,313.03,True,2019-10-14,26.05,25.75,2018-10-22,ma_break,1,-6.12,-6.42
AARTIIND.NS,2019-10-21,2019-10-28,426.66,True,2020-10-26,15.4,15.1,2019-11-11,ma_break,2,-6.63,-6.93
AARTIIND.NS,2020-11-02,2020-11-09,550.74,True,2021-11-08,70.14,69.84,2021-11-08,52w_cap,52,70.14,69.84
AARTIIND.NS,2023-12-18,2023-12-25,596.09,True,2024-12-23,-31.19,-31.49,2024-05-27,ma_break,22,3.92,3.62
AARTIIND.NS,2026-02-02,2026-02-09,448.9,False,2026-08-10,18.27,17.97,2026-08-10,52w_cap,26,18.27,17.97
AARTIPHARM.NS,2024-01-22,2024-01-29,529.6,True,2025-01-27,10.17,9.87,2024-03-18,ma_break,7,-17.51,-17.81
AARTIPHARM.NS,2026-05-04,2026-05-11,763.6,False,2026-08-10,16.38,16.08,2026-05-18,ma_break,1,-7.67,-7.97
AAVAS.NS,2019-09-30,2019-10-07,1630.7,True,2020-10-05,-10.43,-10.73,2020-03-23,ma_break,24,-32.54,-32.84
AAVAS.NS,2021-01-04,2021-01-11,1940.0,True,2022-01-10,42.83,42.53,2021-08-23,ma_break,32,24.48,24.18
AAVAS.NS,2022-01-17,2022-01-24,2834.8,True,2023-01-23,-33.33,-33.63,2022-03-07,ma_break,6,-9.62,-9.92
AAVAS.NS,2024-06-10,2024-06-17,1853.8,True,2025-06-16,-2.01,-2.31,2024-10-28,ma_break,19,-9.11,-9.41
AAVAS.NS,2025-06-23,2025-06-30,1999.0,True,2026-06-29,-24.66,-24.96,2025-08-04,ma_break,5,-16.45,-16.75
AAVAS.NS,2026-06-29,2026-07-06,1515.0,False,2026-08-10,-6.52,-6.82,2026-08-10,52w_cap,5,-6.52,-6.82
ABB.NS,2017-08-14,2017-08-21,1178.54,True,2018-08-20,-2.99,-3.29,2017-08-28,ma_break,1,-1.1,-1.4
ABB.NS,2018-09-17,2018-09-24,1245.72,True,2019-09-23,7.88,7.58,2018-10-29,ma_break,5,-14.15,-14.45
ABB.NS,2019-09-23,2019-09-30,1334.8,True,2020-09-28,-37.88,-38.18,2019-11-25,ma_break,8,-8.46,-8.76
ABB.NS,2020-12-14,2020-12-21,1198.41,True,2021-12-20,81.02,80.72,2021-12-20,52w_cap,52,81.02,80.72
ABB.NS,2024-02-19,2024-02-26,5207.4,True,2025-02-24,-7.45,-7.75,2024-10-28,ma_break,35,41.02,40.72
ABB.NS,2026-01-26,2026-02-02,5404.02,False,2026-08-10,42.67,42.37,2026-08-10,52w_cap,27,42.67,42.37
ABBOTINDIA.NS,2021-07-26,2021-08-02,17563.65,True,2022-08-01,8.97,8.67,2021-12-13,ma_break,19,-0.8,-1.1
ABBOTINDIA.NS,2022-09-26,2022-10-03,17932.32,True,2023-10-02,22.04,21.74,2022-10-17,ma_break,2,-5.62,-5.92
ABBOTINDIA.NS,2023-10-02,2023-10-09,21821.3,True,2024-10-07,27.23,26.93,2023-10-16,ma_break,1,-2.88,-3.18
ABBOTINDIA.NS,2024-10-14,2024-10-21,28188.6,True,2025-10-20,3.75,3.45,2024-11-18,ma_break,4,-6.17,-6.47
ABBOTINDIA.NS,2026-07-13,2026-07-20,28055.0,False,2026-08-10,0.3,0.0,2026-08-10,52w_cap,3,0.3,0.0
ABCAPITAL.NS,2019-11-18,2019-11-25,100.95,True,2020-11-23,-12.38,-12.68,2020-02-17,ma_break,12,-10.95,-11.25
ABCAPITAL.NS,2020-11-23,2020-11-30,88.45,True,2021-11-29,31.71,31.41,2021-08-23,ma_break,38,22.1,21.8
ABCAPITAL.NS,2021-12-06,2021-12-13,126.3,True,2022-12-12,20.94,20.64,2022-02-21,ma_break,10,-12.11,-12.41
ABCAPITAL.NS,2024-04-01,2024-04-08,205.85,True,2025-04-07,-9.97,-10.27,2024-10-28,ma_break,29,-0.85,-1.15
ABCAPITAL.NS,2025-05-12,2025-05-19,218.23,True,2026-05-18,63.73,63.43,2026-03-16,ma_break,43,41.59,41.29
ABDL.NS,2025-06-23,2025-06-30,423.33,True,2026-06-29,54.76,54.46,2026-01-12,ma_break,28,17.1,16.8
