ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
360ONE.NS,2021-07-12,2021-07-19,300.29,True,2022-07-18,25.31,25.01,2021-12-20,ma_break,22,1.72,1.42
360ONE.NS,2023-06-19,2023-06-26,433.02,True,2024-06-24,121.98,121.68,2024-06-24,52w_cap,52,121.98,121.68
360ONE.NS,2026-04-13,2026-04-20,1101.31,False,2026-08-10,5.42,5.12,2026-04-27,ma_break,1,-6.03,-6.33
3IINFOLTD.NS,2021-11-22,2021-11-29,113.9,True,2022-11-28,-62.16,-62.46,2022-01-24,ma_break,8,-28.58,-28.88
5PAISA.NS,2021-06-21,2021-06-28,426.9,True,2022-06-27,-30.57,-30.87,2021-11-08,ma_break,19,3.07,2.77
5PAISA.NS,2024-04-01,2024-04-08,577.5,True,2025-04-07,-36.46,-36.76,2024-05-06,ma_break,4,-8.92,-9.22
63MOONS.NS,2024-10-14,2024-10-21,500.95,True,2025-10-20,56.9,56.6,2025-04-28,ma_break,27,32.97,32.67
63MOONS.NS,2025-11-24,2025-12-01,895.0,False,2026-08-10,-3.08,-3.38,2025-12-08,ma_break,1,-9.27,-9.57
AARTIDRUGS.NS,2022-10-03,2022-10-10,489.0,True,2023-10-09,5.4,5.1,2023-01-23,ma_break,15,-13.71,-14.01
AARTIDRUGS.NS,2025-05-19,2025-05-26,471.67,True,2026-05-25,-19.35,-19.65,2025-11-17,ma_break,25,-1.96,-2.26
AARTIDRUGS.NS,2026-07-13,2026-07-20,417.05,False,2026-08-10,3.46,3.16,2026-08-10,52w_cap,3,3.46,3.16
AARTIIND.NS,2017-12-18,2017-12-25,267.04,True,2018-12-24,25.92,25.62,2018-10-01,ma_break,40,2.35,2.05
AARTIIND.NS,2020-01-06,2020-01-13,419.33,True,2021-01-11,47.65,47.35,2020-03-23,ma_break,10,-17.93,-18.23
AARTIIND.NS,2021-03-22,2021-03-29,651.3,True,2022-03-28,45.25,44.95,2022-02-21,ma_break,47,44.64,44.34
AARTIIND.NS,2023-12-18,2023-12-25,596.09,True,2024-12-23,-31.19,-31.49,2024-05-27,ma_break,22,3.92,3.62
AARTIIND.NS,2026-02-02,2026-02-09,448.9,False,2026-08-10,18.27,17.97,2026-08-10,52w_cap,26,18.27,17.97
AARTIPHARM.NS,2024-01-22,2024-01-29,529.6,True,2025-01-27,10.17,9.87,2024-03-18,ma_break,7,-17.51,-17.81
AARTIPHARM.NS,2026-05-04,2026-05-11,763.6,False,2026-08-10,16.38,16.08,2026-05-18,ma_break,1,-7.67,-7.97
AAVAS.NS,2021-01-25,2021-02-01,1810.0,True,2022-01-31,68.75,68.45,2021-08-23,ma_break,29,33.43,33.13
AAVAS.NS,2024-06-10,2024-06-17,1853.8,True,2025-06-16,-2.01,-2.31,2024-10-28,ma_break,19,-9.11,-9.41
AAVAS.NS,2025-06-30,2025-07-07,1908.8,True,2026-07-06,-20.06,-20.36,2025-08-04,ma_break,4,-12.51,-12.81
ABB.NS,2017-08-14,2017-08-21,1178.54,True,2018-08-20,-2.99,-3.29,2017-08-28,ma_break,1,-1.1,-1.4
ABB.NS,2018-09-17,2018-09-24,1245.72,True,2019-09-23,7.88,7.58,2018-10-29,ma_break,5,-14.15,-14.45
ABB.NS,2019-09-23,2019-09-30,1334.8,True,2020-09-28,-37.88,-38.18,2019-11-25,ma_break,8,-8.46,-8.76
ABB.NS,2024-02-19,2024-02-26,5207.4,True,2025-02-24,-7.45,-7.75,2024-10-28,ma_break,35,41.02,40.72
ABB.NS,2026-01-26,2026-02-02,5404.02,False,2026-08-10,42.67,42.37,2026-08-10,52w_cap,27,42.67,42.37
ABBOTINDIA.NS,2021-08-09,2021-08-16,17655.99,True,2022-08-15,-0.12,-0.42,2021-12-13,ma_break,17,-1.31,-1.61
