Ticker,tv_symbol,signal,bar_status,last_bar_week,market_cap,mrs_confirmed,cross_week_confirmed,above_30ma_confirmed,ma_slope_confirmed,vol_spike_confirmed,mrs_live,cross_week_live,above_30ma_live,ma_slope_live,vol_spike_live,last_close,avg_volume
RATNAMANI.NS,NSE:RATNAMANI,BOTH,closed,2026-08-31,191140884000.0,1.65,2026-08-24,True,up,True,1.65,2026-08-24,True,up,True,2727.0,347044
INDOCO.NS,NSE:INDOCO,BOTH,closed,2026-08-31,24196520199.683838,1.58,2026-08-24,True,up,True,1.58,2026-08-24,True,up,True,262.51,2755751
CYIENT.NS,NSE:CYIENT,BOTH,closed,2026-08-31,115416848395.09204,1.38,2026-08-24,True,down,True,1.38,2026-08-24,True,down,True,1101.8,3592732
GODREJAGRO.NS,NSE:GODREJAGRO,BOTH,closed,2026-08-31,124076480143.9563,1.35,2026-08-24,True,up,True,1.35,2026-08-24,True,up,True,644.85,1602154
MAITHANALL.NS,NSE:MAITHANALL,BOTH,closed,2026-08-31,31747602273.962402,1.19,2026-08-31,True,down,True,1.19,2026-08-31,True,down,True,1090.55,294520
NSLNISP.NS,NSE:NSLNISP,BOTH,closed,2026-08-31,134866482558.5249,1.12,2026-08-24,True,up,True,1.12,2026-08-24,True,up,True,46.02,41426081
ELECTCAST.NS,NSE:ELECTCAST,BOTH,closed,2026-08-31,51748231546.6451,1.06,2026-08-24,True,up,True,1.06,2026-08-24,True,up,True,83.71,12438325
RELIGARE.NS,NSE:RELIGARE,BOTH,closed,2026-08-31,87724365811.36395,1.02,2026-08-31,True,up,True,1.02,2026-08-31,True,up,True,257.08,6185611
MANINFRA.NS,NSE:MANINFRA,BOTH,closed,2026-08-31,50377581055.89241,0.98,2026-08-24,True,up,True,0.98,2026-08-24,True,up,True,124.8,11552014
LICHSGFIN.NS,NSE:LICHSGFIN,BOTH,closed,2026-08-31,309162902435.3638,0.93,2026-08-24,True,up,True,0.93,2026-08-24,True,up,True,562.05,9444249
HCC.NS,NSE:HCC,BOTH,closed,2026-08-31,60195374865.66268,0.86,2026-08-24,True,up,True,0.86,2026-08-24,True,up,True,22.98,190141825
SAGILITY.NS,NSE:SAGILITY,BOTH,closed,2026-08-31,219179794868.03195,0.78,2026-08-24,True,down,True,0.78,2026-08-24,True,down,True,46.82,107053301
HIKAL.NS,NSE:HIKAL,BOTH,closed,2026-08-31,27409757101.284027,0.77,2026-08-31,True,up,True,0.77,2026-08-31,True,up,True,222.3,3613045
SBFC.NS,NSE:SBFC,BOTH,closed,2026-08-31,110919973774.74184,0.51,2026-08-24,True,flat,True,0.51,2026-08-24,True,flat,True,100.08,8322642
PURVA.NS,NSE:PURVA,BOTH,closed,2026-08-31,54715175843.40936,0.44,2026-08-31,True,down,True,0.44,2026-08-31,True,down,True,230.72,4309708
NITCO.NS,NSE:NITCO,BOTH,closed,2026-08-31,23118402323.425255,0.42,2026-08-24,True,up,True,0.42,2026-08-24,True,up,True,96.1,6375210
IDBI.NS,NSE:IDBI,BOTH,closed,2026-08-31,974490179587.8954,0.41,2026-08-24,True,down,True,0.41,2026-08-24,True,down,True,90.63,70659767
PARAGMILK.NS,NSE:PARAGMILK,BOTH,closed,2026-08-31,31576532106.546844,0.35,2026-08-31,True,down,True,0.35,2026-08-31,True,down,True,249.6,3513330
CLEAN.NS,NSE:CLEAN,BOTH,closed,2026-08-31,88869470368.97717,0.26,2026-08-24,True,flat,True,0.26,2026-08-24,True,flat,True,836.15,2346935
EPIGRAL.NS,NSE:EPIGRAL,BOTH,closed,2026-08-31,52619487852.089355,0.23,2026-08-24,True,up,True,0.23,2026-08-24,True,up,True,1219.7,402441
HERITGFOOD.NS,NSE:HERITGFOOD,BOTH,closed,2026-08-31,35480551166.381836,0.21,2026-08-31,True,down,True,0.21,2026-08-31,True,down,True,382.35,1920901
JSL.NS,NSE:JSL,BOTH,closed,2026-08-31,607951357522.4375,0.19,2026-08-31,True,down,True,0.19,2026-08-31,True,down,True,737.85,2771705
TEMBO.NS,NSE:TEMBO,BOTH,closed,2026-08-31,110800652313.23242,0.15,2026-08-24,True,up,True,0.15,2026-08-24,True,up,True,58.47,9172482
MGL.NS,NSE:MGL,BOTH,closed,2026-08-31,108319710039.83313,0.12,2026-08-31,True,up,True,0.12,2026-08-31,True,up,True,1096.6,1239471
TCIEXP.NS,NSE:TCIEXP,BOTH,closed,2026-08-31,21241860508.963623,0.11,2026-08-24,True,up,True,0.11,2026-08-24,True,up,True,552.9,698688
CANTABIL.NS,NSE:CANTABIL,BOTH,closed,2026-08-31,20328225877.243042,0.04,2026-08-31,True,down,True,0.04,2026-08-31,True,down,True,243.05,1206999
SHARDAMOTR.NS,NSE:SHARDAMOTR,BOTH,closed,2026-08-31,50630753465.97803,0.03,2026-08-31,True,up,True,0.03,2026-08-31,True,up,True,881.95,318363
SIRCA.NS,NSE:SIRCA,BOTH,closed,2026-08-31,25007750848.5,0.03,2026-08-31,True,down,True,0.03,2026-08-31,True,down,True,439.25,2070139
JMFINANCIL.NS,NSE:JMFINANCIL,BOTH,closed,2026-08-31,126376126811.83203,0.02,2026-08-31,True,up,True,0.02,2026-08-31,True,up,True,132.06,14956530
ALEMBICLTD.NS,NSE:ALEMBICLTD,CONFIRMED,partial,2026-08-31,28692800912.174835,1.2,2026-08-17,True,down,True,2.6,2026-08-17,True,up,True,111.74,3768683
AMBER.NS,NSE:AMBER,CONFIRMED,partial,2026-08-31,263626558325.0,0.59,2026-08-17,True,up,True,0.42,2026-08-17,False,up,True,7475.0,1781926
