Ticker,tv_symbol,signal,bar_status,last_bar_week,market_cap,mrs_confirmed,cross_week_confirmed,above_30ma_confirmed,ma_slope_confirmed,vol_spike_confirmed,mrs_live,cross_week_live,above_30ma_live,ma_slope_live,vol_spike_live,last_close,avg_volume
BLTE,NASDAQ:BLTE,BOTH,closed,2026-08-31,7797089824.420166,2.29,2026-08-31,True,down,True,2.29,2026-08-31,True,down,True,193.61,906664
ASST,NASDAQ:ASST,BOTH,closed,2026-08-31,2434008045.4815826,1.25,2026-08-31,True,up,True,1.25,2026-08-31,True,up,True,27.14,24240679
CRM,NYSE:CRM,BOTH,closed,2026-08-31,213346299041.74805,1.25,2026-08-24,True,up,True,1.25,2026-08-24,True,up,True,259.23,72042804
BULL,NASDAQ:BULL,BOTH,closed,2026-08-31,5159905241.886549,0.96,2026-08-24,True,up,True,0.96,2026-08-24,True,up,True,9.74,64958248
RIOT,NASDAQ:RIOT,BOTH,closed,2026-08-31,8180644496.700153,0.8,2026-08-31,True,up,True,0.8,2026-08-31,True,up,True,21.8,89610449
AGCO,NYSE:AGCO,BOTH,closed,2026-08-31,9342232221.160248,0.76,2026-08-31,True,down,True,0.76,2026-08-31,True,down,True,133.4,4138586
ELPC,NYSE:ELPC,BOTH,closed,2026-08-31,9101856634.402481,0.51,2026-08-31,True,up,True,0.51,2026-08-31,True,up,True,12.26,1891565
KSS,NYSE:KSS,BOTH,closed,2026-08-31,2204495924.48213,0.48,2026-08-31,True,up,True,0.48,2026-08-31,True,up,True,19.44,22811935
SMCI,NASDAQ:SMCI,BOTH,closed,2026-08-31,25609703237.63499,0.45,2026-08-31,True,up,True,0.45,2026-08-31,True,up,True,39.59,248839251
SWKS,NASDAQ:SWKS,BOTH,closed,2026-08-31,11137995323.64,0.38,2026-08-31,True,up,True,0.38,2026-08-31,True,up,True,74.02,26236815
URBN,NASDAQ:URBN,BOTH,closed,2026-08-31,6935112078.3,0.37,2026-08-24,True,up,True,0.37,2026-08-24,True,up,True,80.97,5858247
CDW,NASDAQ:CDW,BOTH,closed,2026-08-31,19050155984.31665,0.31,2026-08-31,True,up,True,0.31,2026-08-31,True,up,True,152.38,9911419
WOR,NYSE:WOR,BOTH,closed,2026-08-31,3057434732.1600003,0.31,2026-08-31,True,up,True,0.31,2026-08-31,True,up,True,62.49,1129573
OPLN,NYSE:OPLN,BOTH,closed,2026-08-31,4328597301.141701,0.3,2026-08-24,True,up,True,0.3,2026-08-24,True,up,True,35.46,5404629
TAL,NYSE:TAL,BOTH,closed,2026-08-31,6878295549.6,0.2,2026-08-31,True,flat,True,0.2,2026-08-31,True,flat,True,12.4,21241427
LEA,NYSE:LEA,BOTH,closed,2026-08-31,8966288727.911865,0.19,2026-08-31,True,up,True,0.19,2026-08-31,True,up,True,134.68,3084530
NVS,NYSE:NVS,BOTH,closed,2026-08-31,304095377692.53845,0.19,2026-08-31,True,up,True,0.19,2026-08-31,True,up,True,159.99,8536810
SA,NYSE:SA,BOTH,closed,2026-08-31,3433540797.0500793,0.13,2026-08-24,True,up,True,0.13,2026-08-24,True,up,True,31.83,3891195
USAC,NYSE:USAC,BOTH,closed,2026-08-31,3952605018.15,0.03,2026-08-31,True,up,True,0.03,2026-08-31,True,up,True,27.27,1179607
RNW,NASDAQ:RNW,BOTH,closed,2026-08-31,2504535099.9992867,0.01,2026-08-31,True,up,True,0.01,2026-08-31,True,up,True,6.87,8634078
