Ticker,tv_symbol,signal,regime_ok,index_1y_return,prior_1y_return,weeks_of_data,recent_ipo,bar_status,last_bar_week,market_cap,mrs_confirmed,cross_week_confirmed,above_30ma_confirmed,ma_slope_confirmed,vol_spike_confirmed,mrs_live,cross_week_live,above_30ma_live,ma_slope_live,vol_spike_live,last_close,avg_volume
GODREJAGRO.NS,NSE:GODREJAGRO,BOTH,True,-6.83,-6.15,157,False,closed,2026-09-07,130041233233.9563,2.17,2026-08-24,True,up,True,2.17,2026-08-24,True,up,True,675.85,1651428
INDOCO.NS,NSE:INDOCO,BOTH,True,-6.83,-11.97,157,False,closed,2026-09-07,24243526876.449432,1.9,2026-08-24,True,up,True,1.9,2026-08-24,True,up,True,263.02,3338413
MANINFRA.NS,NSE:MANINFRA,BOTH,True,-6.83,-16.49,157,False,closed,2026-09-07,51123201369.955444,1.45,2026-08-24,True,up,True,1.45,2026-08-24,True,up,True,126.87,11542348
HERITGFOOD.NS,NSE:HERITGFOOD,BOTH,True,-6.83,-13.68,157,False,closed,2026-09-07,38733049833.618164,1.43,2026-08-31,True,up,True,1.43,2026-08-31,True,up,True,417.4,2161213
PARAGMILK.NS,NSE:PARAGMILK,BOTH,True,-6.83,-2.85,157,False,closed,2026-09-07,33967542721.5,1.38,2026-08-31,True,up,True,1.38,2026-08-31,True,up,True,268.5,3878581
EVEREADY.NS,NSE:EVEREADY,BOTH,True,-6.83,-16.5,157,False,closed,2026-09-07,26385475380.0,1.37,2026-09-07,True,up,True,1.37,2026-09-07,True,up,True,363.0,836382
CYIENT.NS,NSE:CYIENT,BOTH,True,-6.83,-12.5,157,False,closed,2026-09-07,110285278898.14392,1.21,2026-08-24,True,down,True,1.21,2026-08-24,True,down,True,1059.4,3518356
HIKAL.NS,NSE:HIKAL,BOTH,True,-6.83,-12.39,157,False,closed,2026-09-07,27736503336.215973,1.16,2026-08-31,True,up,True,1.16,2026-08-31,True,up,True,224.95,5580891
HCC.NS,NSE:HCC,BOTH,True,-6.83,-20.22,157,False,closed,2026-09-07,59540507850.16268,1.02,2026-08-24,True,up,True,1.02,2026-08-24,True,up,True,22.73,185114081
SHARDAMOTR.NS,NSE:SHARDAMOTR,BOTH,True,-6.83,-9.34,157,False,closed,2026-09-07,54178522537.5,0.99,2026-08-31,True,up,True,0.99,2026-08-31,True,up,True,943.75,329123
MAITHANALL.NS,NSE:MAITHANALL,BOTH,True,-6.83,-4.35,157,False,closed,2026-09-07,30446313856.7688,0.97,2026-08-31,True,up,True,0.97,2026-08-31,True,up,True,1045.85,367720
HLEGLAS.NS,NSE:HLEGLAS,BOTH,True,-6.83,-22.26,157,False,closed,2026-09-07,28084024138.568085,0.81,2026-09-07,True,down,True,0.81,2026-09-07,True,down,True,404.35,2173362
EIEL.NS,NSE:EIEL,BOTH,True,-6.83,-18.36,94,True,closed,2026-09-07,36354018407.13501,0.79,2026-08-31,True,up,True,0.79,2026-08-31,True,up,True,207.11,11587945
NSLNISP.NS,NSE:NSLNISP,BOTH,True,-6.83,-5.72,157,False,closed,2026-09-07,127950250963.82504,0.79,2026-08-24,True,up,True,0.79,2026-08-24,True,up,True,43.66,41575065
SBFC.NS,NSE:SBFC,BOTH,True,-6.83,-7.95,157,False,closed,2026-09-07,108825262754.57245,0.55,2026-08-24,True,up,True,0.55,2026-08-24,True,up,True,98.19,8211931
